,indegree,closeness,betweenness,eigenvector
indegree,1.0,0.05659890084497106,0.3404115895505011,0.024025530549754735
closeness,0.056598900844971066,1.0,0.5050619259920616,0.9272518496655511
betweenness,0.3404115895505011,0.5050619259920616,0.9999999999999999,0.4199348783369276
eigenvector,0.024025530549754735,0.9272518496655511,0.4199348783369276,1.0
