alpha,rank,node,score,node_label
0.25,4,511d6385b5d2b26cb65e6f4c95c66e0,1331.5405088927375,0101227188b0a94ee84c4c570a3fe21
0.25,5,79eb33248a8ff285909d4e4d7221c00,1187.2306697974384,cff2f8b492fd60699f4c0efcd3c18e3
0.25,6,d92b9d59861f8c5412e13df58f688b6,930.2385438751505,e3a2c4e68206caf3f58668cf81af3dd
0.25,7,e1f602a771f4428666359b90524e4bd,837.405781050804,1461367cc91b837e1b6547abe83c1ee
0.25,8,a36b87b046f6a351668f1684778c29c,817.2945218335745,4f05e6cfb0149168f7ac243c657dd38
0.25,9,cbdfe8f8b33545ef44b4965fa6d2cd4,726.4613899576367,ba709cf3cee4e50bb7c2f35bd5f6088
0.25,10,78d15ba833cf540baf73439626a3ab0,704.7470776569855,c492269338a9662bb6c29858e8cdaf0
0.25,11,0ed015299d4dbef69fa5f6b8d70a9d7,659.4238817050951,d6ee9b882cf47399d658ee96536354f
0.25,12,a6a0ba5336ca3c41b0ea658e1960c34,637.2487908956036,4d3c2780592f8da75c04ae1ec2acf82
0.25,13,c41f78e6d801cd6d2336facd3ada846,617.0126497091995,d7afa383019a95f520ef98f6e85dba9
0.25,14,2f10b599c24d49830a3ae1f07eb6cc6,606.082680451887,697f933343b126a5285a45e62cbb29b
0.25,15,de820db42926b17b057cc7516017427,597.2431121229896,c1b294d4fc442cab1938c321467d46e
0.25,16,4395d08075ba57e81cd6745a3b34a29,567.8340704297364,d43edfece0cbf41f9b6913b197253aa
0.25,17,2c6917d4f8ffae2cc97a38b0d9bc0af,553.872996247764,773bb37e7194c7e5d508a5a560b7cd9
0.25,18,52a2de2ba70338b97f2ee31cfdd19da,539.499805444088,7c5d183434884809dcf48b600154794
0.25,19,868c4cc977fd96e30c0d52a8a51bc9a,534.9151884520122,d6f4c4a284ea0089474f71a79b6eb8d
0.25,20,f17e9d2ea8070b1d013bbeebfd09bd1,532.3067096388546,189347a74fc46b2a58e3dd1d50b7063
0.5,1,999246518573af4b1756e96b5da8c15,1761.463028280753,e91fc738f7c2969b5693bd5a3b6a7e2
0.5,2,5570fb689528e01c515604476fead7b,1561.5056836271842,4f11b5ae12b263cd102af2fb53c6e59
0.5,3,126c0412a08a77cd21d1321d32b4a30,1473.4405315451318,faa5436acf21229165219bdf2a15ae1
0.5,4,511d6385b5d2b26cb65e6f4c95c66e0,1387.3240428969723,0101227188b0a94ee84c4c570a3fe21
0.5,5,79eb33248a8ff285909d4e4d7221c00,1244.057072645785,cff2f8b492fd60699f4c0efcd3c18e3
0.5,6,d92b9d59861f8c5412e13df58f688b6,998.0896753298273,e3a2c4e68206caf3f58668cf81af3dd
0.5,7,e1f602a771f4428666359b90524e4bd,880.9653795694811,1461367cc91b837e1b6547abe83c1ee
0.5,8,a36b87b046f6a351668f1684778c29c,840.2142583888945,4f05e6cfb0149168f7ac243c657dd38
0.5,9,cbdfe8f8b33545ef44b4965fa6d2cd4,753.9230729988305,ba709cf3cee4e50bb7c2f35bd5f6088
0.5,10,78d15ba833cf540baf73439626a3ab0,733.6313788272691,c492269338a9662bb6c29858e8cdaf0
