alpha,rank,node,score,node_label
0.5,56,a4417eca7d58162957faf27f57e2e27,281.339652377691,dfcc4dbe5f5bf3b5fe23a75dc14ea74
0.5,57,0379c6f88da7f8b13e78813792a1308,280.9768673752343,d3020c8e124106f66ae747e748f38dc
0.5,58,7094d540355a1806320620e25b38ec6,276.64236841091423,069c46090a078d77bc0456b7dc03d08
0.5,59,2043f2886bd0309ba514457d8356121,274.95999709048584,89d021e682f117a6ff8e6fe859cdcc2
0.5,60,b7fb06f8acd8e1a0da800ba1a6ef573,273.5324478009876,ac048ba5883e55b4daf8f8f355601cc
0.5,61,366774e842b28527d80ffce67e5434e,269.1988112900946,1b1499a8903cbb6ad1b182c9e21e133
0.5,62,2fa20b1bd079d76813d82cfc3190edf,266.9831455354439,75fc949b80cd2402bb1a075f3cd8b3d
0.5,63,b4724443bbfdae320e205b4fcb6ff91,265.3205608316099,2006104620c839fc93ed14e61858012
0.5,64,1b42868a6a0ca8c91aab1252a6d09c9,261.9293797953945,2b64453b6a583db0cbe698558b94b41
0.5,65,18aaef3a1198f288d8add49787aa664,261.9026536711684,0ffb5cc0ee5648aa55290f0f89f5f8d
0.5,66,6c260ae0ea01a7c3217583318ec0bc9,261.6677282356386,a5979a1cab999c158118e81aad88ff6
0.5,67,9b15117ca9a40470e32a7d2cddf318a,261.2891119048017,39404e136438d74559ecede1707f760
0.5,68,625ac8b59ef24464b3403d897bca058,257.97674313782625,bf212753d85593779ddacb5fa2319c6
0.5,69,139031b283129631f53e19a145c5361,251.90275901625216,b505ed6bfe2ac776071edf2bf94f989
0.5,70,5504acda0eff089f2c687572be618ad,251.09360804289705,a6f50344314599b86554f245df1da15
0.5,71,767141e56543c4113ff036e0350a443,244.3378808126157,9ec38fd07fd9e254996ff618e1065be
0.5,72,8c2dbb4f95da9c3f84063736575a49c,244.31536996267755,b3101e39baa908e1c7471813fd21bad
0.5,73,dde588db6717b1f2c88d3f795b24a9c,242.33241632105265,39e08c340805fafd15a3e31885a77cb
0.5,74,79facdfb3685c6d56fc4318d29f5264,241.32965006397367,e3523365cfcd87098e8c4ff2a05529b
0.5,75,e8be112f53e89a4fe9ee61b8fdffb27,239.4577206940716,78882b35b1fd5fb663b03159d86ecdc
0.5,76,b6960113762ee9ed8bdc64c0ecbf97e,239.0188277102873,8f5826ea39f18b6795b0a008f62c86f
